student,age,sex,smoking_at_home,smoking_parents,smoking_siblings,wave,alcohol,cannabis,tobacco,money,romantic,friendships
s009,13.1,girl,yes,yes,no,t2,NA,NA,NA,-1,NA,0
s009,13.1,girl,yes,yes,no,t3,NA,NA,NA,-1,NA,0
s017,13.7,girl,yes,yes,yes,t3,NA,NA,NA,-1,NA,0
s024,13.7,boy,yes,yes,no,t3,NA,NA,NA,-1,NA,0
s025,13.4,girl,yes,yes,no,t2,NA,NA,NA,-1,NA,0
s025,13.4,girl,yes,yes,no,t3,NA,NA,NA,-1,NA,0
s030,13.7,girl,yes,yes,no,t2,NA,NA,NA,-1,NA,0
s031,13.7,girl,no,no,no,t3,NA,NA,NA,-1,NA,0
s040,13.7,girl,yes,yes,no,t3,NA,NA,NA,-1,NA,0
s067,13.1,boy,yes,yes,yes,t3,NA,NA,NA,-1,NA,0
s094,13.5,boy,no,no,no,t3,NA,NA,NA,-1,NA,0
s096,13.2,boy,yes,yes,no,t3,NA,NA,NA,-1,NA,0
s102,13.6,boy,yes,no,no,t2,NA,NA,NA,-1,NA,0
s102,13.6,boy,yes,no,no,t3,NA,NA,NA,-1,NA,0
s103,13.4,boy,yes,yes,no,t2,NA,NA,NA,-1,NA,0
s103,13.4,boy,yes,yes,no,t3,NA,NA,NA,-1,NA,0
s104,13.7,girl,yes,yes,no,t3,NA,NA,NA,-1,NA,0
s119,13.5,girl,no,no,no,t3,NA,NA,NA,-1,NA,0
s124,NA,boy,yes,yes,no,t2,NA,NA,NA,-1,NA,0
s124,NA,boy,yes,yes,no,t3,NA,NA,NA,-1,NA,0
s128,14.2,girl,yes,yes,yes,t3,NA,NA,NA,-1,NA,0
s129,14.6,boy,no,no,no,t3,NA,NA,NA,-1,NA,0
s133,13.1,girl,no,no,no,t3,NA,NA,NA,-1,NA,0
s145,13.6,girl,no,no,no,t2,NA,NA,NA,-1,NA,0
s145,13.6,girl,no,no,no,t3,NA,NA,NA,-1,NA,0
s153,13.2,boy,yes,no,NA,t1,NA,NA,NA,-1,NA,0
s154,13.6,girl,no,no,NA,t1,NA,NA,NA,-1,NA,0
s155,13.1,girl,yes,yes,NA,t1,NA,NA,NA,-1,NA,0
s155,13.1,girl,yes,yes,NA,t3,NA,NA,NA,-1,NA,0
s156,12.9,girl,yes,yes,NA,t1,NA,NA,NA,-1,NA,0
s156,12.9,girl,yes,yes,NA,t3,NA,NA,NA,-1,NA,0
s158,12.4,girl,no,no,NA,t1,NA,NA,NA,-1,NA,0
s158,12.4,girl,no,no,NA,t3,NA,NA,NA,-1,NA,0
s159,13.8,girl,yes,yes,NA,t1,NA,NA,NA,-1,NA,0
s159,13.8,girl,yes,yes,NA,t2,NA,NA,NA,-1,NA,0
s160,13.7,girl,no,no,NA,t1,NA,NA,NA,-1,NA,0
s160,13.7,girl,no,no,NA,t2,NA,NA,NA,-1,NA,0
s021,13.5,boy,no,no,no,t1,NA,1 none,1 none,-1,no,1
s053,13.4,boy,yes,yes,no,t2,4 once a week,1 none,1 none,-1,no,1
s063,13.5,girl,yes,yes,yes,t3,NA,NA,NA,-1,NA,1
s094,13.5,boy,no,no,no,t2,NA,NA,NA,-1,NA,1
s104,13.7,girl,yes,yes,no,t2,NA,NA,NA,-1,NA,1
s133,13.1,girl,no,no,no,t2,NA,NA,NA,-1,NA,1
s153,13.2,boy,yes,no,NA,t3,NA,NA,NA,-1,NA,1
s016,13.7,girl,yes,yes,no,t2,NA,NA,NA,-1,NA,2
s017,13.7,girl,yes,yes,yes,t2,2 once or twice a year,1 none,1 none,-1,yes,2
s043,12.9,girl,yes,yes,no,t3,4 once a week,2 tried once,2 occasional,-1,yes,2
s048,12.9,boy,yes,yes,NA,t1,NA,NA,NA,-1,NA,2
s063,13.5,girl,yes,yes,yes,t2,NA,NA,NA,-1,NA,2
s136,13.7,boy,yes,yes,NA,t1,NA,NA,NA,-1,NA,2
s157,13.1,girl,yes,yes,NA,t1,NA,NA,NA,-1,NA,2
s157,13.1,girl,yes,yes,NA,t3,5 more than once a week,4 regular,3 regular,-1,no,2
s134,13.1,girl,no,no,no,t1,2 once or twice a year,1 none,1 none,-1,no,4
s011,13.4,girl,no,no,no,t3,2 once or twice a year,1 none,1 none,-1,no,5
s059,13.4,girl,yes,yes,no,t1,3 once a month,1 none,1 none,-1,no,8
s020,13.5,boy,no,no,no,t3,2 once or twice a year,1 none,1 none,0,no,1
s021,13.5,boy,no,no,no,t3,NA,1 none,1 none,0,no,2
s020,13.5,boy,no,no,no,t2,2 once or twice a year,1 none,1 none,0,no,3
s021,13.5,boy,no,no,no,t2,NA,1 none,1 none,0,no,4
s134,13.1,girl,no,no,no,t2,2 once or twice a year,1 none,1 none,0,no,5
s011,13.4,girl,no,no,no,t2,3 once a month,1 none,1 none,0,no,6
s092,13.4,boy,yes,yes,no,t1,2 once or twice a year,1 none,1 none,0.5,yes,2
s020,13.5,boy,no,no,no,t1,2 once or twice a year,1 none,1 none,1,no,1
s090,13.2,boy,no,no,no,t1,2 once or twice a year,1 none,1 none,1,no,2
s019,13.1,girl,yes,no,yes,t1,4 once a week,3 occasional,3 regular,1,no,3
s068,13.1,boy,no,no,no,t1,NA,1 none,1 none,1,no,4
s018,13.6,boy,yes,yes,yes,t1,2 once or twice a year,1 none,1 none,1,no,5
s017,13.7,girl,yes,yes,yes,t1,3 once a month,1 none,1 none,1.5,no,4
s145,13.6,girl,no,no,no,t1,2 once or twice a year,1 none,1 none,2,no,1
s130,13.6,boy,no,no,no,t1,3 once a month,1 none,2 occasional,2,no,2
s023,13.1,boy,yes,yes,no,t2,NA,1 none,1 none,2,no,3
s043,12.9,girl,yes,yes,no,t1,2 once or twice a year,1 none,1 none,2,no,3
s083,13.5,boy,no,no,no,t1,NA,1 none,1 none,2,no,3
s100,13.6,boy,yes,yes,no,t1,3 once a month,2 tried once,1 none,2.5,no,1
s009,13.1,girl,yes,yes,no,t1,4 once a week,1 none,1 none,2.5,no,3
s112,13.5,girl,no,no,no,t1,2 once or twice a year,1 none,1 none,2.5,no,3
s039,13.7,boy,no,no,no,t1,NA,1 none,1 none,2.5,no,6
s106,13.8,boy,no,no,no,t1,2 once or twice a year,1 none,1 none,2.5,no,6
s106,13.8,boy,no,no,no,t2,3 once a month,3 occasional,1 none,2.5,no,6
s039,13.7,boy,no,no,no,t2,2 once or twice a year,1 none,1 none,2.5,no,7
s047,14.3,boy,yes,yes,no,t1,1 none,1 none,2 occasional,3,no,1
s092,13.4,boy,yes,yes,no,t2,NA,1 none,1 none,3,no,2
s031,13.7,girl,no,no,no,t2,2 once or twice a year,1 none,2 occasional,3,no,3
s040,13.7,girl,yes,yes,no,t1,3 once a month,1 none,1 none,3,no,3
s040,13.7,girl,yes,yes,no,t2,3 once a month,1 none,1 none,3,no,3
s110,13.6,boy,no,no,no,t3,3 once a month,1 none,1 none,3,no,3
s112,13.5,girl,no,no,no,t2,NA,1 none,1 none,3,no,3
s005,13.6,boy,no,no,no,t2,3 once a month,1 none,1 none,3,yes,4
s068,13.1,boy,no,no,no,t3,NA,1 none,1 none,3,no,4
s099,13.8,girl,yes,yes,no,t2,3 once a month,2 tried once,1 none,3,no,5
s108,12.8,boy,no,no,no,t3,2 once or twice a year,2 tried once,1 none,3,no,5
s051,13.4,boy,yes,yes,yes,t1,3 once a month,3 occasional,1 none,3,no,7
s061,13,boy,yes,yes,no,t1,NA,1 none,1 none,3,yes,7
s068,13.1,boy,no,no,no,t2,NA,1 none,1 none,3,no,8
s102,13.6,boy,yes,no,no,t1,4 once a week,2 tried once,3 regular,3.4,yes,0
s011,13.4,girl,no,no,no,t1,2 once or twice a year,1 none,1 none,3.5,no,1
s073,12.8,girl,no,no,no,t1,2 once or twice a year,1 none,1 none,3.5,no,1
s097,13.3,girl,no,no,no,t1,2 once or twice a year,1 none,1 none,3.5,no,2
s005,13.6,boy,no,no,no,t1,2 once or twice a year,1 none,1 none,3.5,yes,3
s069,13.4,boy,yes,yes,no,t1,2 once or twice a year,1 none,1 none,3.5,no,6
s108,12.8,boy,no,no,no,t2,NA,1 none,1 none,4,no,0
s055,12.9,girl,yes,yes,no,t2,NA,1 none,1 none,4,yes,1
s099,13.8,girl,yes,yes,no,t1,3 once a month,2 tried once,1 none,4,yes,3
s113,12.8,boy,yes,yes,no,t2,3 once a month,2 tried once,3 regular,4,no,4
s094,13.5,boy,no,no,no,t1,4 once a week,1 none,1 none,4,yes,5
s113,12.8,boy,yes,yes,no,t1,2 once or twice a year,2 tried once,1 none,4,no,6
s002,13.3,boy,no,no,no,t1,NA,1 none,1 none,4,no,7
s088,13.2,girl,yes,yes,no,t1,4 once a week,1 none,1 none,4,yes,7
s081,13.3,boy,no,no,no,t2,2 once or twice a year,3 occasional,3 regular,4.5,no,1
s062,13.1,boy,no,no,no,t1,3 once a month,1 none,1 none,4.5,no,2
s054,13.2,girl,yes,yes,yes,t1,2 once or twice a year,1 none,1 none,5,no,0
s054,13.2,girl,yes,yes,yes,t3,3 once a month,1 none,1 none,5,no,0
s110,13.6,boy,no,no,no,t2,3 once a month,1 none,1 none,5,no,0
s124,NA,boy,yes,yes,no,t1,2 once or twice a year,2 tried once,1 none,5,no,0
s013,13.6,girl,no,no,no,t3,4 once a week,1 none,3 regular,5,no,1
s069,13.4,boy,yes,yes,no,t2,2 once or twice a year,3 occasional,1 none,5,no,1
