student,neighbourhood,schooldist,hoodname,age,sex,smoking_at_home,smoking_parents,smoking_siblings,alcohol,cannabis,tobacco,money,romantic,wave,friend_1,friend_2,friend_3,friend_4,friend_5,friend_6,bestfriend,bfperiod,bfwave
s001,1,0.9,Neighbourhood A,13.3,girl,no,no,no,3 once a month,1 none,2 occasional,6.2,no,t1,s033,s028,NA,NA,NA,NA,s033,from,t1
s001,1,0.9,Neighbourhood A,13.3,girl,no,no,no,1 none,1 none,1 none,5,no,t2,s033,s027,s093,NA,NA,NA,s033,from,t1
s001,1,0.9,Neighbourhood A,13.3,girl,no,no,no,3 once a month,1 none,1 none,12,yes,t3,s033,s027,s028,s123,NA,NA,s033,from,t1
s001,1,0.9,Neighbourhood A,13.3,girl,no,no,no,3 once a month,1 none,2 occasional,6.2,no,t1,s033,s028,NA,NA,NA,NA,s033,to,t3
s001,1,0.9,Neighbourhood A,13.3,girl,no,no,no,1 none,1 none,1 none,5,no,t2,s033,s027,s093,NA,NA,NA,s033,to,t3
s001,1,0.9,Neighbourhood A,13.3,girl,no,no,no,3 once a month,1 none,1 none,12,yes,t3,s033,s027,s028,s123,NA,NA,s033,to,t3
s003,2,2.26,Neighbourhood B,13.7,girl,yes,yes,no,2 once or twice a year,2 tried once,3 regular,8,yes,t1,s016,s028,s058,s067,NA,NA,s063,from,t2
s003,2,2.26,Neighbourhood B,13.7,girl,yes,yes,no,2 once or twice a year,3 occasional,3 regular,25,yes,t2,s063,s072,s154,NA,NA,NA,s063,from,t2
s003,2,2.26,Neighbourhood B,13.7,girl,yes,yes,no,2 once or twice a year,3 occasional,3 regular,17,yes,t3,s016,s064,s072,NA,NA,NA,s063,from,t2
s003,2,2.26,Neighbourhood B,13.7,girl,yes,yes,no,2 once or twice a year,2 tried once,3 regular,8,yes,t1,s016,s028,s058,s067,NA,NA,s063,to,t2
s003,2,2.26,Neighbourhood B,13.7,girl,yes,yes,no,2 once or twice a year,3 occasional,3 regular,25,yes,t2,s063,s072,s154,NA,NA,NA,s063,to,t2
s003,2,2.26,Neighbourhood B,13.7,girl,yes,yes,no,2 once or twice a year,3 occasional,3 regular,17,yes,t3,s016,s064,s072,NA,NA,NA,s063,to,t2
s004,1,0.9,Neighbourhood A,12.9,boy,no,no,no,2 once or twice a year,1 none,1 none,5,no,t1,s008,s012,s015,s025,s039,s089,s089,from,t3
s004,1,0.9,Neighbourhood A,12.9,boy,no,no,no,2 once or twice a year,1 none,1 none,5,no,t2,s008,s012,s015,s039,s089,NA,s089,from,t3
s004,1,0.9,Neighbourhood A,12.9,boy,no,no,no,3 once a month,1 none,1 none,7,no,t3,s089,s127,s008,s039,s118,NA,s089,from,t3
s004,1,0.9,Neighbourhood A,12.9,boy,no,no,no,2 once or twice a year,1 none,1 none,5,no,t1,s008,s012,s015,s025,s039,s089,s089,to,t3
s004,1,0.9,Neighbourhood A,12.9,boy,no,no,no,2 once or twice a year,1 none,1 none,5,no,t2,s008,s012,s015,s039,s089,NA,s089,to,t3
s004,1,0.9,Neighbourhood A,12.9,boy,no,no,no,3 once a month,1 none,1 none,7,no,t3,s089,s127,s008,s039,s118,NA,s089,to,t3
s004,1,0.9,Neighbourhood A,12.9,boy,no,no,no,2 once or twice a year,1 none,1 none,5,no,t1,s008,s012,s015,s025,s039,s089,s127,from,t3
s004,1,0.9,Neighbourhood A,12.9,boy,no,no,no,2 once or twice a year,1 none,1 none,5,no,t2,s008,s012,s015,s039,s089,NA,s127,from,t3
s004,1,0.9,Neighbourhood A,12.9,boy,no,no,no,3 once a month,1 none,1 none,7,no,t3,s089,s127,s008,s039,s118,NA,s127,from,t3
s004,1,0.9,Neighbourhood A,12.9,boy,no,no,no,2 once or twice a year,1 none,1 none,5,no,t1,s008,s012,s015,s025,s039,s089,s127,to,t3
s004,1,0.9,Neighbourhood A,12.9,boy,no,no,no,2 once or twice a year,1 none,1 none,5,no,t2,s008,s012,s015,s039,s089,NA,s127,to,t3
s004,1,0.9,Neighbourhood A,12.9,boy,no,no,no,3 once a month,1 none,1 none,7,no,t3,s089,s127,s008,s039,s118,NA,s127,to,t3
s005,3,3.69,Neighbourhood C,13.6,boy,no,no,no,2 once or twice a year,1 none,1 none,3.5,yes,t1,s035,s006,s010,s044,s051,NA,s035,from,t1
s005,3,3.69,Neighbourhood C,13.6,boy,no,no,no,3 once a month,1 none,1 none,3,yes,t2,s035,s051,s101,s149,NA,NA,s035,from,t1
s005,3,3.69,Neighbourhood C,13.6,boy,no,no,no,3 once a month,1 none,1 none,10,no,t3,s035,s051,s075,s077,s101,NA,s035,from,t1
s005,3,3.69,Neighbourhood C,13.6,boy,no,no,no,2 once or twice a year,1 none,1 none,3.5,yes,t1,s035,s006,s010,s044,s051,NA,s035,to,t3
s005,3,3.69,Neighbourhood C,13.6,boy,no,no,no,3 once a month,1 none,1 none,3,yes,t2,s035,s051,s101,s149,NA,NA,s035,to,t3
s005,3,3.69,Neighbourhood C,13.6,boy,no,no,no,3 once a month,1 none,1 none,10,no,t3,s035,s051,s075,s077,s101,NA,s035,to,t3
s006,1,0.9,Neighbourhood A,13.8,boy,yes,no,yes,3 once a month,3 occasional,3 regular,5,no,t1,s016,s123,NA,NA,NA,NA,s136,from,t3
s006,1,0.9,Neighbourhood A,13.8,boy,yes,no,yes,2 once or twice a year,3 occasional,3 regular,8,no,t2,s057,NA,NA,NA,NA,NA,s136,from,t3
s006,1,0.9,Neighbourhood A,13.8,boy,yes,no,yes,5 more than once a week,4 regular,3 regular,30,no,t3,s136,s123,s146,NA,NA,NA,s136,from,t3
s006,1,0.9,Neighbourhood A,13.8,boy,yes,no,yes,3 once a month,3 occasional,3 regular,5,no,t1,s016,s123,NA,NA,NA,NA,s136,to,t3
s006,1,0.9,Neighbourhood A,13.8,boy,yes,no,yes,2 once or twice a year,3 occasional,3 regular,8,no,t2,s057,NA,NA,NA,NA,NA,s136,to,t3
s006,1,0.9,Neighbourhood A,13.8,boy,yes,no,yes,5 more than once a week,4 regular,3 regular,30,no,t3,s136,s123,s146,NA,NA,NA,s136,to,t3
s007,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,2 once or twice a year,1 none,1 none,5,no,t1,s026,s004,s011,s015,s017,s023,s008,from,t3
s007,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,3 once a month,1 none,1 none,5,no,t2,s026,s004,s008,s011,s015,NA,s008,from,t3
s007,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,3 once a month,1 none,1 none,5,no,t3,s008,s011,s015,s068,s085,s095,s008,from,t3
s007,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,2 once or twice a year,1 none,1 none,5,no,t1,s026,s004,s011,s015,s017,s023,s008,to,t3
s007,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,3 once a month,1 none,1 none,5,no,t2,s026,s004,s008,s011,s015,NA,s008,to,t3
s007,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,3 once a month,1 none,1 none,5,no,t3,s008,s011,s015,s068,s085,s095,s008,to,t3
s007,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,2 once or twice a year,1 none,1 none,5,no,t1,s026,s004,s011,s015,s017,s023,s026,from,t1
s007,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,3 once a month,1 none,1 none,5,no,t2,s026,s004,s008,s011,s015,NA,s026,from,t1
s007,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,3 once a month,1 none,1 none,5,no,t3,s008,s011,s015,s068,s085,s095,s026,from,t1
s007,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,2 once or twice a year,1 none,1 none,5,no,t1,s026,s004,s011,s015,s017,s023,s026,to,t2
s007,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,3 once a month,1 none,1 none,5,no,t2,s026,s004,s008,s011,s015,NA,s026,to,t2
s007,2,2.26,Neighbourhood B,13.5,girl,yes,yes,no,3 once a month,1 none,1 none,5,no,t3,s008,s011,s015,s068,s085,s095,s026,to,t2
