govact,posemot,negemot,ideology,age,sex,partyid
7,1,6,Somewhat Liberal,34,female,Independent
6,5,6,Moderate; Middle of the Road,50,male,Independent
5.2,2,6,Somewhat Conservative,50,female,Independent
6,4.33,6,Moderate; Middle of the Road,71,male,Democrat
7,3,6,Very Liberal,40,female,Democrat
4.8,1.33,6,Somewhat Conservative,64,female,Republican
6.6,2,6,Somewhat Liberal,70,male,Democrat
5.4,2.33,6,Liberal,30,female,Democrat
4.8,2.67,6,Moderate; Middle of the Road,46,male,Independent
3.4,1,6,Moderate; Middle of the Road,65,female,Independent
6.4,4.33,6,Moderate; Middle of the Road,65,female,Democrat
5.8,3,6,Moderate; Middle of the Road,67,male,Republican
6,2.67,6,Moderate; Middle of the Road,62,female,Republican
4.8,2,6,Liberal,41,female,Democrat
4.4,2,6,Moderate; Middle of the Road,55,male,Republican
7,5.33,6,Moderate; Middle of the Road,55,male,Republican
6.4,4,6,Moderate; Middle of the Road,64,male,Independent
6,5,6,Moderate; Middle of the Road,35,female,Independent
7,1.33,6,Somewhat Conservative,40,female,Democrat
6.4,3.33,6,Very Conservative,72,male,Republican
5.6,5.33,6,Very Conservative,72,male,Independent
6.4,3.67,6,Liberal,37,female,Democrat
5.8,5,6,Conservative,50,female,Democrat
7,2.67,6,Very Liberal,64,male,Democrat
5.4,4.67,6,Liberal,68,female,Democrat
6.8,3.67,6,Very Conservative,52,male,Republican
6.2,4.67,6,Moderate; Middle of the Road,83,male,Democrat
7,4,6,Liberal,73,male,Democrat
5.8,2.67,6,Moderate; Middle of the Road,62,female,Republican
4,6,6,Somewhat Liberal,19,female,Democrat
6,3.67,6,Moderate; Middle of the Road,44,female,Independent
6.8,4.33,6,Conservative,40,male,Democrat
6.6,1,6,Moderate; Middle of the Road,59,male,Democrat
6.2,6,6,Somewhat Liberal,30,male,Democrat
1.8,3.33,6,Moderate; Middle of the Road,55,female,Republican
5.6,2.67,6,Very Conservative,64,female,Republican
2.6,1,6,Moderate; Middle of the Road,32,female,Republican
5.4,1,6,Conservative,54,male,Republican
6.2,1,6,Very Liberal,67,female,Democrat
5.4,1,6,Moderate; Middle of the Road,64,female,Republican
4.8,1,6,Very Liberal,40,female,Democrat
5.4,1.33,6,Moderate; Middle of the Road,67,female,Independent
6.8,1.67,6,Somewhat Conservative,47,female,Democrat
4.4,4.33,6,Moderate; Middle of the Road,47,male,Independent
2.4,2,6,Moderate; Middle of the Road,42,female,Democrat
5,6,6,Somewhat Liberal,30,female,Independent
6.8,6,6,Moderate; Middle of the Road,51,male,Independent
7,6,6,Very Liberal,22,female,Democrat
4.2,3,6,Liberal,55,female,Independent
5.4,3,6,Liberal,56,male,Democrat
3.6,6,6,Moderate; Middle of the Road,43,male,Independent
6.2,4.67,6,Somewhat Liberal,34,male,Independent
5.6,2.33,6,Moderate; Middle of the Road,45,male,Democrat
5.2,3,6,Somewhat Liberal,29,male,Democrat
5.8,3.33,6,Moderate; Middle of the Road,34,female,Independent
5,1.33,6,Moderate; Middle of the Road,31,female,Independent
5.8,1.67,6,Somewhat Liberal,44,female,Democrat
7,3,6,Moderate; Middle of the Road,48,female,Independent
5.8,1.67,6,Somewhat Conservative,18,female,Republican
5.4,5.33,6,Moderate; Middle of the Road,82,male,Democrat
5.4,3.67,5.67,Moderate; Middle of the Road,38,female,Independent
5.8,3.67,5.67,Somewhat Liberal,76,male,Democrat
4.6,3,5.67,Liberal,64,male,Democrat
5,1.67,5.67,Moderate; Middle of the Road,41,female,Republican
5.6,2.33,5.67,Conservative,67,male,Republican
6.2,1.33,5.67,Liberal,42,female,Democrat
5.4,1.67,5.67,Liberal,25,female,Democrat
6.6,2,5.67,Somewhat Liberal,58,male,Democrat
6.8,5,5.67,Liberal,60,female,Democrat
7,2,5.67,Very Liberal,82,male,Democrat
5.6,2.67,5.67,Liberal,72,male,Democrat
4.4,1,5.67,Somewhat Conservative,66,female,Democrat
5,5.67,5.67,Liberal,32,male,Democrat
5.6,3.33,5.67,Moderate; Middle of the Road,64,female,Democrat
4.8,2,5.67,Liberal,55,female,Democrat
6.2,3.33,5.67,Moderate; Middle of the Road,44,male,Democrat
5.2,1,5.67,Moderate; Middle of the Road,40,female,Republican
7,2.33,5.67,Somewhat Conservative,21,female,Republican
2.8,6,5.67,Liberal,62,female,Republican
6,2.33,5.67,Somewhat Liberal,56,female,Democrat
4.8,4,5.67,Liberal,63,male,Democrat
7,6,5.67,Liberal,32,male,Democrat
4.8,4.67,5.67,Moderate; Middle of the Road,50,male,Independent
4.2,3,5.67,Somewhat Conservative,73,male,Republican
3.4,4,5.67,Somewhat Conservative,44,female,Republican
6.4,2,5.67,Somewhat Liberal,65,female,Democrat
4.8,1.33,5.67,Moderate; Middle of the Road,36,female,Independent
6.4,3.67,5.67,Very Liberal,66,male,Democrat
5.2,3.33,5.67,Liberal,32,female,Democrat
6,5.33,5.67,Moderate; Middle of the Road,42,female,Democrat
4.6,5,5.67,Conservative,33,female,Democrat
5.4,5,5.67,Moderate; Middle of the Road,38,female,Independent
5.6,4,5.33,Somewhat Conservative,65,male,Democrat
7,3.67,5.33,Moderate; Middle of the Road,60,male,Democrat
4.8,5,5.33,Moderate; Middle of the Road,51,female,Independent
3.4,1,5.33,Somewhat Conservative,73,male,Independent
5.6,1.67,5.33,Somewhat Conservative,63,male,Independent
6,3.33,5.33,Moderate; Middle of the Road,67,female,Democrat
4.2,5,5.33,Liberal,42,male,Democrat
5.2,4.33,5.33,Liberal,73,female,Democrat
6.2,1,5.33,Liberal,44,female,Democrat
6.6,1.67,5.33,Liberal,44,female,Democrat
6.2,5,5.33,Somewhat Liberal,49,male,Democrat
5,2,5.33,Very Conservative,64,male,Republican
7,5.33,5.33,Very Liberal,57,female,Democrat
5.6,2,5.33,Very Liberal,50,male,Democrat
